location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira
Ikoyi Mojisola Onikoyi Estate Ikoyi Lagos,6,6,7,,6 BEDROOM HOUSE,
Ikate Lekki Phase 1 Ikate Elegushi Lekki Lagos,1,1,1,,1 BEDROOM MINI FLAT,
Lekki Phase One Proper Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Osapa London Lekki Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
Lekki Conservative Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM DUPLEX,
Chevron Drive Lekki Chevron Drive Lekki Lagos,5,5,6,,5 BEDROOM SEMI DETACHED DUPLEX,
Orchid Road Lekki Phase 2 Lekki Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Ologolo Lekki Lagos,4,,,,4 BEDROOM DUPLEX For Sale,
Lekki Phase One Proper Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM MAISONETTE,
Ikate Lekki Phase One Lekki Phase 1 Lekki Lagos,5,5,6,,5 BEDROOM DUPLEX,
Pinnock Beach Osapa Osapa Lekki Lagos,4,4,5,,4 BEDROOM DUPLEX,
Orchid Lekki Phase 2 Lekki Phase 2 Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Lekki Lagos,1,1,1,,1 BEDROOM FLAT & APARTMENT,
Ikate Lekki Lekki Phase 1 Lekki Lagos,5,5,6,,5 BEDROOM DUPLEX,
Lekki Phase One Proper Lekki Phase 1 Lekki Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Proper Lekki Phase One Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Ikoyi Lagos Ikoyi Ikoyi Lagos,2,2,3,,2 BEDROOM MAISONETTE,
Ikate Lekki Lekki Phase 1 Lekki Lagos,1,1,2,,1 BEDROOM FLAT & APARTMENT,
Plantinium Way Ikate Lekki Nicon Town Lekki Lagos,4,4,5,,4 BEDROOM TERRACE,
Victoria Island Lagos,3,3,4,,3 BEDROOM FLAT & APARTMENT,
"Royal Pine, Orchid Lekki Phase 2 Lekki Lagos",1,1,1,,1 BEDROOM SHARED APARTMENT,
Old Ikoyi Old Ikoyi Ikoyi Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Lekki Phase One Proper Lekki Phase 1 Lekki Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
"Glover Road, Ikoyi Lekki Phase 1 Lekki Lagos",3,3,4,,3 BEDROOM DETACHED DUPLEX,
Chervon Lekki Phase 2 Lekki Phase 2 Lekki Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Osapa London Lekki Phase 1 Lekki Phase 1 Lekki Lagos,3,3,4,,3 BEDROOM FLAT & APARTMENT,
Harris Drive Vgc Lekki Phase 2 Lekki Lagos,4,4,5,,4 BEDROOM TERRACE,
Chevron Chevron Drive Lekki Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Off Admiralty Way Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
Lekki Phase 1 Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT For Sale,
Ilasan Lekki Ilasan Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Parkview Ikoyi Ikoyi Lagos,4,4,5,,4 BEDROOM HOUSE,
"Opposite Orchid Hospital, Lekki Phase 2 Lekki Phase 2 Lekki Lagos",1,1,1,,1 BEDROOM SHARED APARTMENT,
Secure Estate In Lekki Phase One Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Ogidan Sangotedo Sangotedo Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
Obafemi Awolowo Way Ikeja Lagos,3,3,3,,3 BEDROOM BLOCK OF FLATS,
Banana Island Banana Island Ikoyi Lagos,5,5,6,,5 BEDROOM DUPLEX,
Central Lekki Phase One Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM MAISONETTE,
Old Ikoyi Old Ikoyi Ikoyi Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Chevron Lekki Chevron Drive Lekki Lagos,5,5,6,,5 BEDROOM DUPLEX,
Orchid Lekki Lekki Phase 2 Lekki Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Central Ikoyi Ikoyi Lagos,3,3,4,,3 BEDROOM FLAT & APARTMENT,
Balogun Ikeja Lagos,3,3,3,,3 BEDROOM BLOCK OF FLATS,
Nike Art Gallery Lekki Phase 1 Lekki Lagos,3,3,4,,3 BEDROOM MAISONETTE,
Lekki Lagos,4,4,5,,4 BEDROOM TERRACED DUPLEX,
"Oral Estate, Lekki Phase 2 Lekki Phase 2 Lekki Lagos",5,5,6,,5 BEDROOM TERRACED DUPLEX,
Ikate Lekki Phase One Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM SEMI DETACHED DUPLEX,
Orchid Road Lekki Lekki Phase 2 Lekki Lagos,4,4,5,,4 BEDROOM DUPLEX,
Osborne Phase One Osborne Foreshore Estate Ikoyi Lagos,5,5,6,,5 BEDROOM DUPLEX,
Ikate Lekki Phase One Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Chisco Ikate Lekki Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM DUPLEX,
Lekki Phase 1 Lagos,5,5,6,,5 BEDROOM SHARED APARTMENT For Sale,
Off Freedom Way Ikate Lekki Lekki Phase 1 Lekki Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Off Fola Osinbo Lekki Phase One Lekki Phase 1 Lekki Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Chevron Toll Gate Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Banana Island Road Banana Island Ikoyi Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Chevron Lekki Chevron Drive Lekki Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Oniru Estate Victoria Island Oniru Victoria Island Lagos,3,3,3,,3 BEDROOM BLOCK OF FLATS,
Parkview Ikoyi Parkview Estate Ikoyi Lagos,4,4,5,,4 BEDROOM TERRACED DUPLEX,
Lekki Phase One Proper Lekki Phase 1 Lekki Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
"Conservative, Orchid Lekki Lagos",4,4,5,,4 BEDROOM TERRACED DUPLEX,
Ikoyi Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
Bluewaters Victoria Island Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
Lekki Phase 1 Lagos,5,5,6,,5 BEDROOM DETACHED DUPLEX,
Lekki Conservative Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM DUPLEX,
Royal Pine Orchid Lekki Phase 2 Lekki Lagos,1,1,1,,1 BEDROOM SHARED APARTMENT,
Osborne Phase One Ikoyi Ikoyi Lagos,4,4,5,,4 BEDROOM DETACHED DUPLEX,
Freedom Way Lekki Phase One Lekki Phase 1 Lekki Lagos,5,5,5,,5 BEDROOM DUPLEX,
"Vintage Estate, Majek Sangotedo Ajah Lagos",1,1,1,,1 BEDROOM FLAT & APARTMENT,
Ilasan Lekki Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
Orchid Road Lekki Lekki Phase 2 Lekki Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Osapa London Lekki Phase 1 Lekki Lagos,1,1,1,,1 BEDROOM MINI FLAT,
Victoria Island Victoria Island Victoria Island Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Secured Estate In Ajah Ajah Lagos,4,4,5,,4 BEDROOM DUPLEX For Sale,
Salem Ikate Lekki Lagos,3,3,4,,3 BEDROOM FLAT & APARTMENT,
"Banana Island, Ikoyi Banana Island Ikoyi Lagos",4,4,5,,4 BEDROOM TERRACED DUPLEX,
Idado Idado Lekki Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Banana Island Ikoyi Banana Island Ikoyi Lagos,4,4,5,,4 BEDROOM DETACHED DUPLEX,
"Grace Court, Royal Pine Gate 1 Lekki Lagos",1,1,1,,1 BEDROOM STUDIO APARTMENT,
Ikota Lekki Ikota Lekki Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Lekki Phase One Lekki Phase 1 Lekki Lagos,8,8,9,,8 BEDROOM OFFICE,
Thomas Ajah Ajah Ajah Lagos,3,3,4,,3 BEDROOM TERRACE,
Ologolo Lekki Ologolo Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Lateef Jakande Road Agidingbi Ikeja Lagos,,,10,,OFFICE,
By Enyo Filling Station Ikate Elegushi Lekki Lagos,1,1,2,,1 BEDROOM MINI FLAT,
Magodo Phase 2 Magodo Gra Phase 2 Kosofe/ikosi Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
"Osapa London, Lekki Phase 1 Osapa London Lekki Lagos",1,1,1,,1 BEDROOM MINI FLAT,
Adeniyi Jones Ikeja Lagos,,,10,,OFFICE,
Idado Lekki Ologolo Lekki Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Alt Route Chevron Drive Lekki Lagos,1,1,1,,1 BEDROOM FLAT & APARTMENT,
"Royal Pine, Orchid Lekki Phase 2 Lekki Lagos",1,1,1,,1 BEDROOM MINI FLAT,
Chevron Lekki Lagos,4,4,5,,4 BEDROOM DETACHED DUPLEX,
Ikeja Gra Ikeja Lagos,3,3,3,,3 BEDROOM BLOCK OF FLATS,
Osapa London Lekki Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
"Off Freedom Way, Ikate Lekki Phase 1 Lekki Lagos",2,2,3,,2 BEDROOM DETACHED DUPLEX,
Chevron Lekki Chevron Drive Lekki Lagos,5,5,6,,5 BEDROOM DUPLEX For Sale,
Ikate Lekki Phase One Lekki Phase 1 Lekki Lagos,3,3,4,,3 BEDROOM TERRACE,
Oral Estate Oral Estate Lekki Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Igbo Ofon Igbo Efon Lekki Lagos,3,3,4,,3 BEDROOM TERRACE,
Lekki Right Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Thomas Estate Ajah Thomas Estate Ajah Lagos,4,4,5,,4 BEDROOM TERRACE,
"Van Daniels Estate, Orchid Lekki Phase 2 Lekki Lagos",1,1,1,,1 BEDROOM STUDIO APARTMENT,
Thomas Estate Ajah Ajah Ajah Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Vi Victoria Island Victoria Island Lagos,6,6,7,,6 BEDROOM SEMI DETACHED DUPLEX,
Omole Phase 2 Ojodu Lagos,4,4,4,,4 BEDROOM DETACHED DUPLEX,
Lekki Phase 1 Lagos Lekki Phase 1 Lekki Lagos,10,10,10,,10 BEDROOM BLOCK OF FLATS,
Van Daniels Estate Orchid Lekki Phase 2 Lekki Lagos,1,1,1,,1 BEDROOM SELF CONTAIN,
Banana Island Ikoyi Lagos,,,,,COMMERCIAL LAND,
"Orchid, Lekki Phase 2 Lekki Phase 2 Lekki Lagos",4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Lekki Conservative Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM DUPLEX,
Lekki Phase One Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Ikoyi South West Ikoyi South West Ikoyi Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Ikoyi Ikoyi Ikoyi Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Chevron Lekki Chevron Drive Lekki Lagos,5,5,6,,5 BEDROOM DUPLEX,
Victoria Island Lagos Victoria Island Victoria Island Lagos,3,3,4,,3 BEDROOM FLAT & APARTMENT,
Banana Island Ikoyi Banana Island Ikoyi Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Ikate Lekki Phase One Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Monestary Road Sangotedo Ajah Sangotedo Ajah Lagos,,,,,RESIDENTIAL LAND For Sale,
Friend's Colony Osapa London Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
Ikate Lekki Lekki Phase 2 Lekki Lagos,1,1,2,,1 BEDROOM FLAT & APARTMENT,
Royal Pine Gate 1 Orchid Lekki Phase 2 Lekki Lagos,4,4,5,,4 BEDROOM HOUSE,
Ikoyi Lagos Ikoyi Ikoyi Lagos,4,4,5,,4 BEDROOM TERRACE,
Ologolo Lekki Phase 1 Ologolo Lekki Lagos,1,1,1,,1 BEDROOM MINI FLAT,
Lekki Right Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Imperial Oak Lekki Lagos,1,1,1,,1 BEDROOM SELF CONTAIN,
Osapa London Lekki Phase 1 Lekki Lagos,1,1,1,,1 BEDROOM SHARED APARTMENT,
Gerard Road Old Ikoyi Ikoyi Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Ologolo Lekki Phase One Ologolo Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Osapa London Lekki Phase 2 Lekki Lagos,5,5,4,,5 BEDROOM DETACHED DUPLEX,
Old Ikoyi Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Banana Island Estate Banana Island Ikoyi Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Orchid Road Lekki Phase 2 Lekki Lagos,4,4,5,,4 BEDROOM TERRACED DUPLEX,
"Van Daniels Estate, Orchid Lekki Phase 2 Lekki Lagos",1,1,1,,1 BEDROOM STUDIO APARTMENT,
"Jadeville Chevron Alternative, Lekki Chevron Drive Lekki Lagos",1,1,1,,1 BEDROOM FLAT & APARTMENT,
Parkview Ikoyi Ikoyi Lagos,4,4,5,,4 BEDROOM MAISONETTE,
Lekki Phase One Proper Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Chevron Lekki Chevron Drive Lekki Lagos,4,4,5,,4 BEDROOM DUPLEX,
Ilaje Mobil Road Lekki Phase 2 Lekki Lagos,1,1,1,,1 BEDROOM FLAT & APARTMENT,
"Chervon Alternative, Lekki Phase 2 Lekki Phase 2 Lekki Lagos",4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Diplomatic Zone Katampe Ext. Abuja Phase 2,5,5,6,,5 BEDROOM DETACHED DUPLEX For Sale,
Ikoyi Ikoyi Ikoyi Lagos,4,4,5,,4 BEDROOM TERRACE,
Chevron Lekki Phase 2 Lekki Lagos,5,5,6,,5 BEDROOM DETACHED DUPLEX,
"Ikota Villa Estate, Lekki Phase 2 Ikota Lekki Lagos",4,4,5,,4 BEDROOM DETACHED DUPLEX,
Thompson Avenue Ikoyi Lagos,3,3,4,,3 BEDROOM FLAT & APARTMENT,
Ikoyi Lagos Ikoyi Ikoyi Lagos,4,4,5,,4 BEDROOM TERRACED DUPLEX,
Ikoyi Ikoyi Ikoyi Lagos,4,4,5,,4 BEDROOM TERRACE,
Gated Estate In Thomas Estate Thomas Estate Ajah Lagos,4,4,5,,4 BEDROOM DUPLEX,
Parkview Ikoyi Parkview Estate Ikoyi Lagos,10,10,10,,10 BEDROOM BLOCK OF FLATS,
"Royal Pine 3, Orchid Lekki Phase 2 Lekki Lagos",1,1,1,,1 BEDROOM STUDIO APARTMENT,
Glover Rd Ikoyi Lagos,4,4,5,,4 BEDROOM FLAT & APARTMENT,
Abijo Ibeju Lekki Abijo Ajah Lagos,,,1,,SHOP,
Lekki Phase 1 Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Chisco Ikate Lekki Ikate Elegushi Lekki Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Banana Island Ikoyi Banana Island Ikoyi Lagos,4,4,5,,4 BEDROOM DUPLEX,
Friend's Colony Osapa London Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
Ikoyi Lagos Ikoyi Ikoyi Lagos,4,4,5,,4 BEDROOM MAISONETTE,
Lekki Conservative Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM DUPLEX,
"Opposite Orchid Hospital, Lekki Phase 2 Lekki Phase 2 Lekki Lagos",1,1,1,,1 BEDROOM SHARED APARTMENT,
Gra Alice News Estate Ikota Lekki Lagos,4,4,4,,4 BEDROOM TERRACED DUPLEX,
Osapa London Lekki Phase 1 Lekki Lagos,1,1,1,,1 BEDROOM SHARED APARTMENT,
Oniru Estate Oniru Victoria Island Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Ajah Lagos,4,,,,4 BEDROOM SEMI DETACHED DUPLEX For Sale,
"Ikota, Lekki Phase 2 Lekki Phase 2 Lekki Lagos",4,4,5,,4 BEDROOM DETACHED DUPLEX,
Lekki Phase One Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Victoria Island Victoria Island Lagos,,,10,,COMMERCIAL PROPERTY,
Lekki Scheme 2 Abraham Adesuya Abraham Adesanya Ajah Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Ikate Lekki Phase One Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Ikate Elegushi Freedom Way Lekki Lekki Phase 2 Lekki Lagos,2,2,3,,2 BEDROOM DETACHED DUPLEX,
Vinjoe Court In Ocean Harbor Estate Orchid Road Lekki Phase 2 Lekki Lagos,1,1,1,,1 BEDROOM SELF CONTAIN,
Victoria Island Lagos Victoria Island Victoria Island Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Lekki Phase 1 Lekki Phase 1 Lekki Lagos,5,5,6,,5 BEDROOM DETACHED DUPLEX,
"Agungi, Lekki Phase 1 Agungi Lekki Lagos",1,1,1,,1 BEDROOM SHARED APARTMENT,
"Lekky County, Ikota Ikota Lekki Lagos",4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Chevy View Estate By Ada Chevron Drive Lekki Lagos,2,3,3,,2 BEDROOM PENTHOUSE,
Chevron Toll Gate Lekki Lekki Phase 2 Lekki Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Idado Ologolo Lekki Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Thomas Estate Ajah Thomas Estate Ajah Lagos,4,4,5,,4 BEDROOM TERRACE,
Osapa Lekki Osapa Lekki Lagos,5,5,6,,5 BEDROOM DUPLEX,
Chevron Alternative Chevron Drive Lekki Lagos,5,5,6,,5 BEDROOM DUPLEX,
Orchid Road Lekki Phase 2 Lekki Lagos,5,5,6,,5 BEDROOM DUPLEX,
Lekki Phase One Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM DUPLEX,
Oral Estate Extension Lekki Phase 2 Lekki Lagos,3,3,4,,3 BEDROOM FLAT & APARTMENT,
"Ikota, Lekki Phase 2 Lekki Phase 2 Lekki Lagos",4,4,5,,4 BEDROOM TERRACED DUPLEX,
Bourdillon Ikoyi Lagos,4,4,5,,4 BEDROOM DETACHED DUPLEX For Sale,
Chevron Alt. Chevron Lekki Lagos,1,1,1,,1 BEDROOM SELF CONTAIN,
Proper Lekki Phase One Lekki Phase 1 Lekki Lagos,5,5,6,,5 BEDROOM DUPLEX,
Ikate Lekki Phase One Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Ikate Lekki Lagos Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Before Blenco Supermarket Abraham Adesanya Ajah Lagos,4,4,5,,4 BEDROOM TERRACE,
Ikate Lekki Phase One Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
"By Nicon, Ikate Lekki Phase 1 Lekki Lagos",2,2,3,,2 BEDROOM FLAT & APARTMENT,
Magodo Phase 2 Magodo Gra Phase 2 Kosofe Ikosi Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
"Lekky County, Ikota, Lekki Phase 2 Ikota Lekki Lagos",4,4,5,,4 BEDROOM HOUSE,
Banana Island Road Onikoyi Mojisola Onikoyi Estate Ikoyi Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Osapa Osapa Lekki Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Lekki Phase 1 Lagos,3,3,4,,3 BEDROOM COMMERCIAL PROPERTY,
Ilasan Ikate Lagos Ikate Elegushi Lekki Lagos,3,3,3,,3 BEDROOM SHARED APARTMENT,
Ikota Ikota Lekki Lagos,4,4,5,,4 BEDROOM TERRACED DUPLEX,
Lekki Lekki Lagos,3,3,4,,3 BEDROOM HOUSE,
Banana Island Ikoyi Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Canaan Estate Sangotedo Ajah Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Lekki Phase 1 Lagos Lekki Phase 1 Lekki Lagos,4,4,4,,4 BEDROOM TERRACED DUPLEX,
Lekki Phase 1 Lekki Phase 1 Lekki Lagos,5,5,7,,5 BEDROOM DETACHED DUPLEX,
Chevy View Estate By Ada Chevron Drive Lekki Lagos,2,3,3,,2 BEDROOM PENTHOUSE,
Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM TERRACED DUPLEX,
